episode,greedy_reward
250434,-2151.6856
250435,-2139.8061
250436,-2079.2189
250437,-2064.7544
250438,-2065.3794
250439,-2070.9133
250440,-2070.3578
250441,-2066.2128
250442,-2066.1433
250443,-2065.1017
250444,-2063.7128
250445,-2071.5556
250446,-2203.5044
250447,-2268.6556
250448,-2269.0372
250449,-2071.4906
250450,-2066.4906
250451,-2152.8433
250452,-2072.5800
250453,-2268.8022
250454,-2267.9689
250455,-2064.5461
250456,-2066.7122
250457,-2145.0583
250458,-2315.8744
250459,-2311.7189
250460,-2315.3189
250461,-2219.7456
250462,-2079.0022
250463,-2080.3300
250464,-2186.2478
250465,-2181.2344
250466,-2230.1183
250467,-2078.7911
250468,-2077.3356
250469,-2103.3256
250470,-2074.6717
250471,-2235.1911
250472,-2074.1161
250473,-2159.2189
250474,-2164.9289
250475,-2111.0044
250476,-2304.2189
250477,-2078.4283
250478,-2320.0522
250479,-2264.6133
250480,-2268.8383
250481,-2084.7744
250482,-2074.0400
250483,-2326.4411
250484,-2206.1411
250485,-2080.8856
250486,-2274.7744
250487,-2166.4411
250488,-2206.1633
250489,-2125.3300
250490,-2217.2944
250491,-2531.9967
250492,-2245.0522
250493,-2349.4967
250494,-2324.7744
250495,-2194.7678
250496,-2308.2244
250497,-2100.7950
250498,-2374.7744
250499,-2256.1633
250500,-2277.6689
250501,-2213.6633
250502,-2315.6078
250503,-2292.2744
250504,-2173.4672
250505,-2278.0856
250506,-2349.0894
250507,-2087.0889
250508,-2203.1967
250509,-2246.9967
250510,-2290.4578
250511,-2152.1033
250512,-2313.6633
250513,-2353.9411
250514,-2345.3300
250515,-2187.3033
250516,-2155.0867
250517,-2109.1367
250518,-2291.7189
250519,-2291.7078
250520,-2294.8300
250521,-2290.8744
250522,-2266.6633
250523,-2269.0856
250524,-2304.7744
250525,-2190.0700
250526,-2177.0144
250527,-2069.4044
250528,-2194.1033
250529,-2086.5022
250530,-2120.6078
250531,-2067.7244
250532,-2066.0511
250533,-2066.3983
250534,-2066.3983
250535,-2066.3983
250536,-2066.3983
250537,-2066.3289
250538,-2386.3572
250539,-2103.4611
250540,-2393.9828
250541,-2240.5067
250542,-2313.1628
250543,-2066.4011
250544,-2067.5456
250545,-2066.7056
250546,-2067.5322
250547,-2309.7561
250548,-2110.3233
250549,-2220.3433
250550,-2298.8783
250551,-2067.5389
250552,-2065.4422
250553,-2295.8228
250554,-2063.6367
250555,-2063.6367
250556,-2297.7672
250557,-2063.9144
